entry_type,rr_ratio,ml_threshold,use_smt,atr_sl,roi,win_rate,total_trades,max_drawdown
25_ce,2.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,2.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,2.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.0,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,4.0,0.0005,True,True,-2.3841176486624134,0.0,1,8.40600000000004
25_ce,3.0,0.001,True,True,-2.3841176486624134,0.0,1,8.40600000000004
50_ce,2.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,2.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,2.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,3.0,0.0,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.0005,True,True,-2.384334455252556,0.0,1,8.40600000000004
50_ce,4.0,0.001,True,True,-2.384334455252556,0.0,1,8.40600000000004
open,2.0,0.0,True,True,-2.384768068432859,0.0,1,2.384768068432859
open,2.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.0,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,4.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.0005,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,3.0,0.0,True,True,-2.384768068432859,0.0,1,8.40600000000004
open,2.0,0.001,True,True,-2.384768068432859,0.0,1,8.40600000000004
25_ce,3.0,0.0005,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,2.0,0.0,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,2.0,0.001,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,3.0,0.001,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,3.0,0.0,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,4.0,0.0005,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,4.0,0.001,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,4.0,0.0,True,False,-2.598066907227876,0.0,1,8.40600000000004
25_ce,2.0,0.0005,True,False,-2.598066907227876,0.0,1,8.40600000000004
50_ce,3.0,0.001,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,4.0,0.0,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,4.0,0.001,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,4.0,0.0005,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,3.0,0.0,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,3.0,0.0005,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,2.0,0.001,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,2.0,0.0005,True,False,-2.65348800876267,0.0,1,8.40600000000004
50_ce,2.0,0.0,True,False,-2.65348800876267,0.0,1,8.40600000000004
open,2.0,0.001,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,4.0,0.0,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,2.0,0.0005,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,4.0,0.001,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,4.0,0.0005,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,3.0,0.0,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,3.0,0.001,True,False,-2.802000000000007,0.0,1,8.40600000000004
open,2.0,0.0,True,False,-2.802000000000007,0.0,1,2.802000000000007
open,3.0,0.0005,True,False,-2.802000000000007,0.0,1,8.40600000000004
25_ce,3.0,0.001,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,3.0,0.0005,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,4.0,0.0005,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,4.0,0.0,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,2.0,0.001,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,3.0,0.0,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,2.0,0.0,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,2.0,0.0005,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,4.0,0.001,False,False,-7.673291974178027,0.0,3,8.40600000000004
25_ce,2.0,0.0,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,4.0,0.0,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,2.0,0.001,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,2.0,0.0005,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,3.0,0.0,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,3.0,0.0005,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,3.0,0.001,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,4.0,0.001,False,True,-7.7459134085109325,0.0,3,8.40600000000004
25_ce,4.0,0.0005,False,True,-7.7459134085109325,0.0,3,8.40600000000004
50_ce,2.0,0.001,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,4.0,0.0005,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,4.0,0.001,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,2.0,0.0,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,3.0,0.0,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,2.0,0.0005,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,3.0,0.001,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,4.0,0.0,False,True,-7.747454315057385,0.0,3,8.40600000000004
50_ce,3.0,0.0005,False,True,-7.747454315057385,0.0,3,8.40600000000004
open,2.0,0.0,False,True,-7.750536128150342,0.0,3,7.750536128150342
open,2.0,0.001,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,4.0,0.0005,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,2.0,0.0005,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,4.0,0.0,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,3.0,0.0,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,3.0,0.0005,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,4.0,0.001,False,True,-7.750536128150342,0.0,3,8.40600000000004
open,3.0,0.001,False,True,-7.750536128150342,0.0,3,8.40600000000004
50_ce,3.0,0.0005,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,2.0,0.0,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,4.0,0.0,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,3.0,0.0,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,2.0,0.0005,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,2.0,0.001,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,4.0,0.0005,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,3.0,0.001,False,False,-7.849755983300474,0.0,3,8.40600000000004
50_ce,4.0,0.001,False,False,-7.849755983300474,0.0,3,8.40600000000004
open,4.0,0.0005,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,2.0,0.0,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,4.0,0.001,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,3.0,0.001,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,4.0,0.0,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,3.0,0.0005,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,3.0,0.0,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,2.0,0.0005,False,False,-8.40600000000004,0.0,3,8.40600000000004
open,2.0,0.001,False,False,-8.40600000000004,0.0,3,8.40600000000004
